Node ID,URLv4:,eth,id,ASN_number,organization,country,city,ip,secp256k1,tcp,udp,les,udp6,cap,Name,Caps
 045d0e1a2fc9eaddee0ed46e80caeab073cc1584a1d2ae9a57c9dec4c6b27dc4,enode://facb05bf44e7f3dde3ea9f569e95d97fd9dee844135f8d8cf18a6a8cc964ae508477cc18f57c03e57d2656fae32ffe75f8d22961514a1df1be608fbc13a187c1@95.216.41.95:30303,c7c684c25efa5c80,v4,24940,Hetzner Online GmbH,Finland,Helsinki,95.216.41.95,a103facb05bf44e7f3dde3ea9f569e95d97fd9dee844135f8d8cf18a6a8cc964ae50,30303,30303,,,,,
 102474f71e14b855ebd7388a0f00e9e2454361f014b97fc95c8bdfe55009b94a,enode://8bd4bc8015d4f6cb3ea846c196930255b619690f1501778145618eb50ce6b6105293d4a97b423a672298191917ce177dffc19855d557085395e5adec0c7be88e@51.68.155.180:30303,c7c684e029e99180,v4,16276,OVH SAS,France,,51.68.155.180,a1028bd4bc8015d4f6cb3ea846c196930255b619690f1501778145618eb50ce6b610,30303,30303,,,,,
 110adc4050cfabd4cf7b04f2f622feeeb8bf8b03db6006dc3fb965f331e7a20c,enode://e66a23aa7538d7079daf14b1b61fe37cd939e9273f17aba01d03fb9d7df5b9a123b2ce1ec74b4a0716875c09fa3f322a8c39f55f9892ee914bff89757d2f19dd@45.129.56.200:62422,c7c684e029e99180,v4,39351,31173 Services AB,Denmark,Copenhagen,45.129.56.200,a103e66a23aa7538d7079daf14b1b61fe37cd939e9273f17aba01d03fb9d7df5b9a1,62422,62422,,,,,
 1125cc477f3344a14f600660086ba85c92be194067cdc1cda2fb1e9f8b8e6eb4,enode://b919210809425954a459be6fa64c17171b701f0958f4fc0d257adfa6d5bbe989c7c7167daf136bf7c4d2fc46745d27a53b58e5a81d9dbe8fdaf628fe4ba3edda@13.125.57.231:30305,c7c68424f3574080,v4,16509,AMAZON-02,South Korea,Incheon,13.125.57.231,a102b919210809425954a459be6fa64c17171b701f0958f4fc0d257adfa6d5bbe989,30305,30305,,,,,
 113885ed589bab64b44fbccf82efaee5391bb6a09ca2ea956261d72de68a0a48,enode://ac374715af35b6b241924c1c8b3cfd941f587b853dd891eb708e8148d9f76b2fb3bd147c7a3467263f7387cb93512074cd7e8df236a1d6f111ad3407b67a8c8c@85.214.223.64:23000,c7c68409530c8d80,v4,6724,Strato AG,Germany,,85.214.223.64,a102ac374715af35b6b241924c1c8b3cfd941f587b853dd891eb708e8148d9f76b2f,23000,23000,,,,,
 1158674818b44527a438fd50a01dca76148579d985141b62b90738ece9707d1d,enode://e6b9eb189a9fe6f27ef5094ec7e658f25ac6c1a14a085facfd5c9adec973f9d07eb095d7334a5b6348ee30c1d98786e83cb6bf831065ce0ee58ae7ab9e723c6d@207.180.227.239:30303,c7c684e029e99180,v4,51167,Contabo GmbH,Germany,Nuremberg,207.180.227.239,a103e6b9eb189a9fe6f27ef5094ec7e658f25ac6c1a14a085facfd5c9adec973f9d0,30303,30303,,,,,
 115a72c08d4456144bd69ff6be3e8b089261084e6207141748f65180de9da83c,enode://adcd117489cb897ec987693b7d64cbba964645cf4e4f61cc52c60a9f90017fcca72b338fa634049686d6b62aee3743332424cdf1030e034fd50232f13c815e11@51.210.114.127:40404,c7c684e029e99180,v4,16276,OVH SAS,France,,51.210.114.127,a103adcd117489cb897ec987693b7d64cbba964645cf4e4f61cc52c60a9f90017fcc,40404,40404,,,,,
 117137a94ed5c3c8ebd75bad2c2f3c3885b1d8e7c20e6463663275a535ec64a4,enode://d7c7874f10c95fb6d4241d1bb12072b0462fbdb208017135c77f92691bdc0baec56b793197485029002a1cff5292f70f02bfee3cf1774bd333e528dc3012bb14@209.50.50.107:30303,c7c6842780657680,v4,25697,UPCLOUDUSA,United States,Phoenix,209.50.50.107,a102d7c7874f10c95fb6d4241d1bb12072b0462fbdb208017135c77f92691bdc0bae,30303,30303,,,,,
 117db56e69586dce9cc44361af222e5cbfe346aa0d6045b78ff479c5e2303964,enode://7159468288f1a81c6ae89354b871b5ba8197919f44cad530fc1fa36608d7293cecfe3798eeefb1e6f06d843b8f9da66897a2579c7158193cc702482f6dee9caa@18.159.226.230:30301,cac9849007bfcc83b28720,v4,16509,AMAZON-02,Germany,Frankfurt am Main,18.159.226.230,a1027159468288f1a81c6ae89354b871b5ba8197919f44cad530fc1fa36608d7293c,30301,30301,,,,,
 117e91cc06ed5bf6a4c4cd44b6aee6419d064503676da35001f46f3e0191449f,enode://205c1954121c91c276201d4645c6e2de930bf72fab7e1e6594892d7ae181fca2b7d8a5f04a9edb0e944cb3278dc0b9a37d829e5ea4f598961fc3fbb033c6b786@116.202.231.71:30303,c7c684e029e99180,v4,24940,Hetzner Online GmbH,Germany,,116.202.231.71,a102205c1954121c91c276201d4645c6e2de930bf72fab7e1e6594892d7ae181fca2,30303,30303,,,,,
